AREA_m2,BUILDING,SURFACE,TYPE,Xcoor,Xdir,Ycoor,Ydir,Zcoor,Zdir,orientation
2.42640575656,Z0005,srf0,walls,681754.227996,-0.848895394034,246136.009886,-0.52856088579,214.195037468,0.0,west
1.21320287832,Z0005,srf1,walls,681754.512996,-0.848895394034,246135.55216,-0.52856088579,214.195037468,0.0,west
1.21320287824,Z0005,srf2,walls,681755.082998,-0.848895394034,246134.636709,-0.52856088579,216.445037468,0.0,west
2.42640575647,Z0005,srf3,walls,681755.082998,-0.848895394034,246134.636709,-0.52856088579,215.882537468,0.0,west
1.21320287824,Z0005,srf4,walls,681753.372994,-0.848895394034,246137.383062,-0.52856088579,216.445037468,0.0,west
1.21320287832,Z0005,srf5,walls,681753.942995,-0.848895394034,246136.467611,-0.52856088579,217.570037468,0.0,west
2.42640575647,Z0005,srf6,walls,681753.372994,-0.848895394034,246137.383062,-0.52856088579,215.882537468,0.0,west
2.42640575656,Z0005,srf7,walls,681754.227996,-0.848895394034,246136.009886,-0.52856088579,217.570037468,0.0,west
9.17192509211,Z0005,srf8,walls,681697.20349,-0.940648501487,246094.694738,0.33938237528,215.882537468,-0.0,west
4.58596254605,Z0005,srf9,walls,681697.20349,-0.940648501487,246094.694738,0.33938237528,215.320037468,-0.0,west
4.58596254599,Z0005,srf10,walls,681699.970414,-0.940648501487,246102.363678,0.33938237528,214.195037468,-0.0,west
9.17192509203,Z0005,srf11,walls,681699.278683,-0.940648501487,246100.446443,0.33938237528,214.195037468,-0.0,west
4.58596254601,Z0005,srf12,walls,681701.353876,-0.940648501487,246106.198148,0.33938237528,216.445037468,-0.0,west
9.17192509202,Z0005,srf13,walls,681701.353876,-0.940648501487,246106.198148,0.33938237528,215.882537468,-0.0,west
9.17192509203,Z0005,srf14,walls,681699.278683,-0.940648501487,246100.446443,0.33938237528,217.570037468,-0.0,west
4.58596254599,Z0005,srf15,walls,681699.970414,-0.940648501487,246102.363678,0.33938237528,217.570037468,-0.0,west
14.3838158523,Z0005,srf16,walls,681703.767879,-0.842619972284,246110.810728,0.538508665026,215.882537468,-0.0,west
7.19190792617,Z0005,srf17,walls,681703.767879,-0.842619972284,246110.810728,0.538508665026,215.320037468,-0.0,west
7.19190792614,Z0005,srf18,walls,681710.653043,-0.842619972284,246121.584142,0.538508665026,214.195037468,-0.0,west
14.3838158523,Z0005,srf19,walls,681708.931752,-0.842619972284,246118.890788,0.538508665026,214.195037468,-0.0,west
7.19190792614,Z0005,srf20,walls,681714.095625,-0.842619972284,246126.970849,0.538508665026,216.445037468,-0.0,west
14.3838158523,Z0005,srf21,walls,681714.095625,-0.842619972284,246126.970849,0.538508665026,215.882537468,-0.0,west
14.3838158523,Z0005,srf22,walls,681708.931752,-0.842619972284,246118.890788,0.538508665026,217.570037468,-0.0,west
7.19190792614,Z0005,srf23,walls,681710.653043,-0.842619972284,246121.584142,0.538508665026,217.570037468,-0.0,west
1.47782084929,Z0005,srf24,walls,681747.586467,-0.822053712828,246155.952318,-0.569409951815,214.195037468,0.0,west
0.738910424619,Z0005,srf25,walls,681747.773464,-0.822053712828,246155.682352,-0.569409951815,214.195037468,0.0,west
0.73891042467,Z0005,srf26,walls,681748.147458,-0.822053712828,246155.14242,-0.569409951815,216.445037468,0.0,west
1.47782084934,Z0005,srf27,walls,681748.147458,-0.822053712828,246155.14242,-0.569409951815,215.882537468,0.0,west
0.73891042467,Z0005,srf28,walls,681747.025477,-0.822053712828,246156.762217,-0.569409951815,216.445037468,0.0,west
0.738910424619,Z0005,srf29,walls,681747.39947,-0.822053712828,246156.222285,-0.569409951815,217.570037468,0.0,west
1.47782084934,Z0005,srf30,walls,681747.025477,-0.822053712828,246156.762217,-0.569409951815,215.882537468,0.0,west
1.47782084929,Z0005,srf31,walls,681747.586467,-0.822053712828,246155.952318,-0.569409951815,217.570037468,0.0,west
2.42640575656,Z0005,srf32,walls,681754.227996,-0.848895394034,246136.009886,-0.52856088579,218.695037468,0.0,west
1.21320287832,Z0005,srf33,walls,681754.512996,-0.848895394034,246135.55216,-0.52856088579,218.695037468,0.0,west
1.21320287824,Z0005,srf34,walls,681755.082998,-0.848895394034,246134.636709,-0.52856088579,220.945037468,0.0,west
2.42640575647,Z0005,srf35,walls,681755.082998,-0.848895394034,246134.636709,-0.52856088579,220.382537468,0.0,west
1.21320287824,Z0005,srf36,walls,681753.372994,-0.848895394034,246137.383062,-0.52856088579,220.945037468,0.0,west
1.21320287832,Z0005,srf37,walls,681753.942995,-0.848895394034,246136.467611,-0.52856088579,222.070037468,0.0,west
2.42640575647,Z0005,srf38,walls,681753.372994,-0.848895394034,246137.383062,-0.52856088579,220.382537468,0.0,west
2.42640575656,Z0005,srf39,walls,681754.227996,-0.848895394034,246136.009886,-0.52856088579,222.070037468,0.0,west
9.17192509211,Z0005,srf40,walls,681697.20349,-0.940648501487,246094.694738,0.33938237528,220.382537468,-0.0,west
4.58596254605,Z0005,srf41,walls,681697.20349,-0.940648501487,246094.694738,0.33938237528,219.820037468,-0.0,west
4.58596254599,Z0005,srf42,walls,681699.970414,-0.940648501487,246102.363678,0.33938237528,218.695037468,-0.0,west
9.17192509203,Z0005,srf43,walls,681699.278683,-0.940648501487,246100.446443,0.33938237528,218.695037468,-0.0,west
4.58596254601,Z0005,srf44,walls,681701.353876,-0.940648501487,246106.198148,0.33938237528,220.945037468,-0.0,west
9.17192509202,Z0005,srf45,walls,681701.353876,-0.940648501487,246106.198148,0.33938237528,220.382537468,-0.0,west
