AREA_m2,BUILDING,SURFACE,TYPE,Xcoor,Xdir,Ycoor,Ydir,Zcoor,Zdir,orientation
21.0839778794,Z0003,srf0,walls,682217.34312,-0.992226281232,245954.598033,-0.124446803221,252.750439269,0.0,west
8.43359115176,Z0003,srf1,walls,682217.34312,-0.992226281232,245954.598033,-0.124446803221,252.281689269,0.0,west
8.43359115176,Z0003,srf2,walls,682214.544364,-0.992226281232,245976.912781,-0.124446803221,251.656689269,0.0,west
21.0839778794,Z0003,srf3,walls,682215.383991,-0.992226281232,245970.218357,-0.124446803221,251.656689269,0.0,west
8.43359115176,Z0003,srf4,walls,682213.424861,-0.992226281232,245985.838681,-0.124446803221,253.219189269,0.0,west
21.0839778794,Z0003,srf5,walls,682213.424861,-0.992226281232,245985.838681,-0.124446803221,252.750439269,0.0,west
21.0839778794,Z0003,srf6,walls,682215.383991,-0.992226281232,245970.218357,-0.124446803221,253.844189269,0.0,west
8.43359115176,Z0003,srf7,walls,682214.544364,-0.992226281232,245976.912781,-0.124446803221,253.844189269,0.0,west
7.94385799335,Z0003,srf8,walls,682255.628167,-0.973559807105,245963.606187,-0.228432270029,252.750439269,0.0,west
3.17754319734,Z0003,srf9,walls,682255.628167,-0.973559807105,245963.606187,-0.228432270029,252.281689269,0.0,west
3.17754319734,Z0003,srf10,walls,682253.692558,-0.973559807105,245971.855596,-0.228432270029,251.656689269,0.0,west
7.94385799335,Z0003,srf11,walls,682254.273241,-0.973559807105,245969.380774,-0.228432270029,251.656689269,0.0,west
3.17754319734,Z0003,srf12,walls,682252.918315,-0.973559807105,245975.15536,-0.228432270029,253.219189269,0.0,west
7.94385799335,Z0003,srf13,walls,682252.918315,-0.973559807105,245975.15536,-0.228432270029,252.750439269,0.0,west
7.94385799335,Z0003,srf14,walls,682254.273241,-0.973559807105,245969.380774,-0.228432270029,253.844189269,0.0,west
3.17754319734,Z0003,srf15,walls,682253.692558,-0.973559807105,245971.855596,-0.228432270029,253.844189269,0.0,west
7.85654853466,Z0003,srf16,walls,682240.924818,-0.973105189955,245976.956881,-0.230361214796,252.750439269,0.0,west
3.14261941387,Z0003,srf17,walls,682240.924818,-0.973105189955,245976.956881,-0.230361214796,252.281689269,0.0,west
3.14261941388,Z0003,srf18,walls,682238.994318,-0.973105189955,245985.111812,-0.230361214796,251.656689269,0.0,west
7.85654853468,Z0003,srf19,walls,682239.573468,-0.973105189955,245982.665332,-0.230361214796,251.656689269,0.0,west
3.14261941387,Z0003,srf20,walls,682238.222118,-0.973105189955,245988.373784,-0.230361214796,253.219189269,0.0,west
7.85654853466,Z0003,srf21,walls,682238.222118,-0.973105189955,245988.373784,-0.230361214796,252.750439269,0.0,west
7.85654853468,Z0003,srf22,walls,682239.573468,-0.973105189955,245982.665332,-0.230361214796,253.844189269,0.0,west
3.14261941388,Z0003,srf23,walls,682238.994318,-0.973105189955,245985.111812,-0.230361214796,253.844189269,0.0,west
8.12734626032,Z0003,srf24,walls,682238.268271,-0.987098482871,245994.570563,-0.160114287665,252.750439269,0.0,west
3.25093850413,Z0003,srf25,walls,682238.268271,-0.987098482871,245994.570563,-0.160114287665,252.281689269,0.0,west
3.25093850415,Z0003,srf26,walls,682236.880213,-0.987098482871,246003.127887,-0.160114287665,251.656689269,0.0,west
8.12734626035,Z0003,srf27,walls,682237.296631,-0.987098482871,246000.56069,-0.160114287665,251.656689269,0.0,west
3.25093850414,Z0003,srf28,walls,682236.32499,-0.987098482871,246006.550817,-0.160114287665,253.219189269,0.0,west
8.12734626034,Z0003,srf29,walls,682236.32499,-0.987098482871,246006.550817,-0.160114287665,252.750439269,0.0,west
8.12734626035,Z0003,srf30,walls,682237.296631,-0.987098482871,246000.56069,-0.160114287665,253.844189269,0.0,west
3.25093850415,Z0003,srf31,walls,682236.880213,-0.987098482871,246003.127887,-0.160114287665,253.844189269,0.0,west
5.84283277501,Z0003,srf32,walls,682243.194885,-0.975984700639,246012.661496,-0.217839078491,252.750439269,0.0,west
2.33713311,Z0003,srf33,walls,682243.194885,-0.975984700639,246012.661496,-0.217839078491,252.281689269,0.0,west
2.33713311,Z0003,srf34,walls,682241.837235,-0.975984700639,246018.744179,-0.217839078491,251.656689269,0.0,west
5.842832775,Z0003,srf35,walls,682242.24453,-0.975984700639,246016.919374,-0.217839078491,251.656689269,0.0,west
2.33713311,Z0003,srf36,walls,682241.294175,-0.975984700639,246021.177252,-0.217839078491,253.219189269,0.0,west
5.84283277501,Z0003,srf37,walls,682241.294175,-0.975984700639,246021.177252,-0.217839078491,252.750439269,0.0,west
