Name,Af_m2,Aroof_m2,GFA_m2,people0,Qhs_sen_ahu_MWhyr,Qcs_lat_sys_MWhyr,Qcs_sys_MWhyr,Qhs_sys_MWhyr,Qhs_dis_ls0_kW,Qhs_lat_sys_MWhyr,OIL_hs0_kW,Epro_MWhyr,QH_sys_MWhyr,Qhs_sen_ahu0_kW,Qcs0_kW,WOOD_hs_MWhyr,Qcs_dis_ls0_kW,GRID0_kW,GRID_MWhyr,Edata0_kW,Qcdata_MWhyr,Edata_MWhyr,Qcs_em_ls_MWhyr,Qhs_lat_aru_MWhyr,E_sys_MWhyr,E_cdata0_kW,PV_MWhyr,Qww_sys_MWhyr,QH_sys0_kW,Qhs_sys_aru0_kW,E_cre0_kW,Qcs_lat_sys0_kW,OIL_ww0_kW,Eal0_kW,Qhs_sen_sys0_kW,DH_hs_MWhyr,Qcre_sys_MWhyr,COAL_ww0_kW,Qcs_sen_scu_MWhyr,Qcs_em_ls0_kW,Qcdata0_kW,Qhs_sys_shu0_kW,Qcs_sys_aru0_kW,Qcs_lat_aru0_kW,Qcs_sen_scu0_kW,Qcs_lat_ahu0_kW,Qcre0_kW,Qhs_lat_sys0_kW,Qcs_lat_aru_MWhyr,SOLAR_hs_MWhyr,COAL_ww_MWhyr,Qcs_sys_ahu_MWhyr,Qhs_sys0_kW,Qcs_sys_scu0_kW,SOLAR_ww_MWhyr,DC_cdata_MWhyr,Qcs_MWhyr,Qcs_sys_ahu0_kW,Qhs_sys_ahu_MWhyr,OIL_hs_MWhyr,OIL_ww_MWhyr,E_cs_MWhyr,NG_ww_MWhyr,Qhs_sen_aru0_kW,Qhs_lat_ahu_MWhyr,PV0_kW,Qcs_sys0_kW,Qcs_lat_ahu_MWhyr,Eaux0_kW,DC_cre_MWhyr,Qhs_sys_aru_MWhyr,Qcs_dis_ls_MWhyr,Qhpro_sys_MWhyr,Epro0_kW,Qcre_sys0_kW,Qcs_sen_ahu_MWhyr,E_sys0_kW,E_cdata_MWhyr,Eaux_MWhyr,SOLAR_hs0_kW,Qcs_sen_sys_MWhyr,SOLAR_ww0_kW,COAL_hs_MWhyr,E_ww_MWhyr,Qcs_sys_scu_MWhyr,Qcs_sen_ahu0_kW,Qhs_lat_ahu0_kW,QC_sys_MWhyr,Qcs_sen_aru0_kW,Qcs_sen_sys0_kW,COAL_hs0_kW,Qhs_sen_sys_MWhyr,E_hs0_kW,DH_ww0_kW,DH_ww_MWhyr,Qhs_dis_ls_MWhyr,WOOD_ww0_kW,E_ww0_kW,Qww0_kW,Qhs_lat_aru0_kW,Qhs_sys_shu_MWhyr,Qhs_sys_ahu0_kW,Qcdata_sys_MWhyr,Qww_sys0_kW,Qcs_sen_aru_MWhyr,NG_hs0_kW,NG_hs_MWhyr,Qhs_sen_aru_MWhyr,WOOD_hs0_kW,E_cre_MWhyr,NG_ww0_kW,E_cs0_kW,DC_cre0_kW,Qhs_sen_shu_MWhyr,DC_cs_MWhyr,DC_cs0_kW,Qcdata_sys0_kW,Qhs_MWhyr,WOOD_ww_MWhyr,Qhpro_sys0_kW,Qhs_sen_shu0_kW,DH_hs0_kW,DC_cdata0_kW,Qcre_MWhyr,Eal_MWhyr,Qhs_em_ls0_kW,E_hs_MWhyr,Qww_MWhyr,Qhs0_kW,QC_sys0_kW,Qcs_sys_aru_MWhyr,Qhs_em_ls_MWhyr
Z0009,39807.378,9497.155,44230.421,3187.000,0.000,320.739,1092.840,589.733,4.669,0.000,633.131,0.000,2320.077,0.000,0.000,0.000,0.000,1872.257,1951.181,0.000,0.000,0.000,-215.355,,1789.871,0.000,0.000,1730.344,775.267,0.000,0.000,734.006,510.845,643.425,463.840,0.000,0.000,0.000,0.000,0.000,0.000,506.505,0.000,0.000,0.000,0.000,0.000,0.000,-197.270,0.000,0.000,-244.973,506.505,0.000,0.000,0.000,-877.080,0.000,0.000,737.166,2162.931,161.310,0.000,0.000,,0.000,2752.915,-123.469,0.400,0.000,0.000,-0.405,0.000,0.000,0.000,-97.569,643.825,0.000,0.352,0.000,-556.340,0.000,0.000,0.000,0.000,0.000,,1092.840,0.000,0.000,0.000,525.509,0.000,0.000,0.000,5.039,0.000,0.000,405.446,,589.733,0.000,0.000,408.676,-458.771,0.000,0.000,0.000,0.000,0.000,0.000,1228.432,0.000,525.509,0.000,0.000,0.000,525.509,0.000,0.000,463.840,0.000,0.000,0.000,1789.519,40.161,0.000,1717.169,463.840,2752.915,-847.867,59.185
Z0022,0.000,128.367,385.102,0.000,,0.000,0.000,0.000,,0.000,0.000,0.000,,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,,,,,,0.000,0.000,,0.000,0.000,,0.000,,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,,,0.000,0.000,,0.000,0.000,,,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,,,0.000,0.000,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
Z0027,16649.803,1974.710,20175.935,547.000,0.000,0.000,0.000,386.496,1.770,0.000,449.420,0.000,713.213,0.000,0.000,0.000,0.000,306.898,1129.891,0.000,0.000,0.000,0.000,,1129.891,0.000,0.000,326.717,393.214,0.000,0.000,0.000,136.594,306.881,330.679,0.000,0.000,0.000,0.000,0.000,0.000,359.536,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,359.536,0.000,0.000,0.000,0.000,0.000,0.000,483.120,408.396,0.000,0.000,0.000,,0.000,0.000,0.000,0.724,0.000,0.000,0.000,0.000,0.000,0.000,0.000,306.898,0.000,1.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,345.368,0.000,0.000,0.000,1.758,0.000,0.000,107.559,,386.496,0.000,0.000,109.275,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,345.368,0.000,0.000,0.000,345.368,0.000,0.000,330.679,0.000,0.000,0.000,1128.795,27.088,0.000,320.966,330.679,0.000,0.000,39.370
Z0033,13637.072,3539.158,18978.691,2424.000,0.000,117.045,717.391,107.152,3.088,0.000,982.452,0.000,198.336,0.000,0.000,0.000,0.000,1464.500,2087.710,0.000,0.000,0.000,-225.865,,1982.192,0.000,0.000,91.184,796.117,0.000,0.000,565.521,62.117,489.378,711.335,0.000,0.000,0.000,0.000,0.000,0.000,785.961,0.000,0.000,0.000,0.000,0.000,0.000,-86.152,0.000,0.000,-65.440,785.961,0.000,0.000,0.000,-491.436,0.000,0.000,133.940,113.980,105.518,0.000,0.000,,0.000,6876.291,-30.892,0.453,0.000,0.000,-0.090,0.000,0.000,0.000,-24.967,489.831,0.000,0.074,0.000,-374.391,0.000,0.000,0.000,0.000,0.000,,717.391,0.000,0.000,0.000,95.424,0.000,0.000,0.000,0.408,0.000,0.000,46.887,,107.152,0.000,0.000,49.693,-349.424,0.000,0.000,0.000,0.000,0.000,0.000,974.669,0.000,95.424,0.000,0.000,0.000,95.424,0.000,0.000,711.335,0.000,0.000,0.000,1982.119,71.538,0.000,86.295,711.335,6876.291,-651.951,11.320
Z0034,0.000,44.061,88.122,0.000,,0.000,0.000,0.000,,0.000,0.000,0.000,,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,,,,,,0.000,0.000,,0.000,0.000,,0.000,,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,,,0.000,0.000,,0.000,0.000,,,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,,,0.000,0.000,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
Z0035,932.067,1022.756,1035.631,207.000,28.547,3.922,7.752,70.877,0.550,0.000,0.000,0.000,75.496,43.545,0.000,0.000,0.000,123.478,28.395,0.000,0.000,0.000,-0.711,,27.246,0.000,0.000,4.619,173.096,98.643,0.000,44.288,0.000,8.295,117.255,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.040,0.000,0.000,-7.623,171.825,0.000,0.000,0.000,-7.015,0.000,32.008,0.000,0.000,1.148,5.774,93.208,,0.000,68.983,-3.882,116.012,0.000,38.868,-0.027,0.000,0.000,0.000,-3.019,123.478,0.000,14.725,0.000,-3.093,0.000,0.000,0.000,0.000,0.000,,7.752,0.000,0.000,0.000,64.314,0.000,0.000,0.000,0.228,0.000,0.000,4.006,,0.000,114.015,0.000,4.109,-0.074,214.781,88.596,35.767,0.000,0.000,5.137,11.652,0.000,0.000,0.000,0.000,0.000,64.314,0.000,0.000,0.000,0.000,0.000,0.000,12.521,160.167,0.000,4.401,117.255,68.983,-0.130,6.335
Z0042,7100.131,1429.584,8626.177,207.000,0.000,0.000,0.000,253.063,1.710,0.000,228.925,0.000,397.091,0.000,0.000,0.000,0.000,121.158,441.126,0.000,0.000,0.000,0.000,,441.126,0.000,0.000,144.029,198.302,0.000,0.000,0.000,61.368,121.145,167.693,0.000,0.000,0.000,0.000,0.000,0.000,183.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,183.140,0.000,0.000,0.000,0.000,0.000,0.000,316.328,180.036,0.000,0.000,0.000,,0.000,0.000,0.000,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,121.158,0.000,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,224.373,0.000,0.000,0.000,2.170,0.000,0.000,47.302,,253.063,0.000,0.000,49.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,224.373,0.000,0.000,0.000,224.373,0.000,0.000,167.693,0.000,0.000,0.000,441.046,13.889,0.000,138.251,167.693,0.000,0.000,26.520
Z0048,40551.053,5616.334,45056.725,7209.000,260.188,405.669,2308.299,261.471,1.456,0.000,0.000,0.000,523.712,597.655,0.000,0.000,0.000,4902.409,9727.522,0.000,0.000,0.000,-412.060,,9373.810,0.000,0.000,262.241,714.685,0.000,0.000,1567.234,0.000,1431.452,597.655,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-198.334,0.000,0.000,-419.433,600.547,0.000,0.000,0.000,-1895.967,0.000,261.471,0.000,0.000,353.712,327.802,0.000,,0.000,10179.323,-207.335,3470.957,0.000,0.000,-0.271,0.000,0.000,0.000,-174.088,4902.409,0.000,3544.307,0.000,-1490.298,0.000,0.000,0.000,0.000,0.000,,2308.299,0.000,0.000,0.000,260.188,0.000,0.000,0.000,0.433,0.000,0.000,139.422,,0.000,600.547,0.000,142.570,-1316.210,750.683,326.838,0.000,0.000,0.000,178.212,1904.136,0.000,0.000,0.000,0.000,0.000,260.188,0.000,0.000,0.000,0.000,0.000,0.000,5829.503,2.865,0.000,256.606,597.655,10179.323,-1888.866,0.849
Z0049,6533.961,1201.069,7259.957,1162.000,0.000,55.212,324.392,84.191,4.215,0.000,555.888,0.000,132.424,0.000,0.000,0.000,0.000,680.101,987.060,0.000,0.000,0.000,-98.493,,939.363,0.000,0.000,48.234,450.427,0.000,0.000,267.574,33.338,230.649,400.244,0.000,0.000,0.000,0.000,0.000,0.000,444.711,0.000,0.000,0.000,0.000,0.000,0.000,-40.455,0.000,0.000,-31.266,444.711,0.000,0.000,0.000,-225.777,0.000,0.000,105.238,60.292,47.697,0.000,0.000,,0.000,3168.501,-14.758,0.338,0.000,0.000,-0.122,0.000,0.000,0.000,-11.956,230.987,0.000,0.060,0.000,-170.564,0.000,0.000,0.000,0.000,0.000,,324.392,0.000,0.000,0.000,74.248,0.000,0.000,0.000,0.767,0.000,0.000,22.465,,84.191,0.000,0.000,26.671,-158.608,0.000,0.000,0.000,0.000,0.000,0.000,449.114,0.000,74.248,0.000,0.000,0.000,74.248,0.000,0.000,400.244,0.000,0.000,0.000,939.304,40.252,0.000,41.347,400.244,3168.501,-293.126,9.175
Z0050,4279.940,951.098,4755.489,761.000,68.291,42.658,228.856,70.286,0.629,0.000,0.000,0.000,100.734,98.912,0.000,0.000,0.000,517.545,971.197,0.000,0.000,0.000,-40.106,,937.291,0.000,0.000,30.448,144.510,136.027,0.000,160.865,0.000,151.082,139.483,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-20.885,0.000,0.000,-43.956,140.699,0.000,0.000,0.000,-188.640,0.000,68.855,0.000,0.000,33.906,38.060,134.851,,0.000,1038.204,-21.773,366.463,0.000,1.431,-0.110,0.000,0.000,0.000,-18.317,517.545,0.000,322.019,0.000,-145.982,0.000,0.000,0.000,0.000,0.000,,228.856,0.000,0.000,0.000,69.709,0.000,0.000,0.000,0.272,0.000,0.000,14.715,,0.000,99.815,0.000,16.552,-127.665,175.873,87.857,1.418,0.000,0.000,20.690,147.159,0.000,0.000,0.000,0.000,0.000,69.709,0.000,0.000,0.000,0.000,0.000,0.000,615.272,0.586,0.000,27.083,139.483,1038.204,-184.900,0.305
