Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,8.3,4.6,0,8.3,0,0
1,1,1,0,0,6.1,4.6,0,6.1,0,0
1,1,2,0,0,7.8,6.2,0,7.8,0,0
1,1,3,0,0,7.2,5.2,0,7.2,0,0
1,1,4,0,0,7.8,7.7,0,7.8,0,0
1,1,5,0,0,7.2,3.6,0,7.2,0,0
1,1,6,0,0,7.2,5.7,0,7.2,0,0
1,1,7,0,13,8.3,3.6,12.284,6.848,286.636,142.283
1,1,8,0,62,9.4,6.2,59.608,9.209,1376.698,1211.504
1,1,9,0,60,10.6,6.2,56.857,10.432,1306.133,1142.338
1,1,10,183,228,10.6,6.2,388.72,16.183,8674.124,8327.691
1,1,11,664,206,11.1,5.7,772.147,24.391,16584.123,15959.239
1,1,12,115,262,12.2,7.7,373.414,17.551,8297.517,7962.214
1,1,13,25,228,12.2,9.8,252.085,14.842,5674.139,5411.002
1,1,14,65,173,11.1,8.2,225.894,13.598,5092.447,4844.041
1,1,15,315,143,11.1,8.2,310.462,14.809,6742.567,6451.172
1,1,16,136,16,10,7.7,62.454,10.173,1251.612,1088.892
1,1,17,0,0,9.4,8.8,0,9.4,0,0
1,1,18,0,0,9.4,7.2,0,9.4,0,0
1,1,19,0,0,8.9,6.7,0,8.9,0,0
1,1,20,0,0,8.9,6.7,0,8.9,0,0
1,1,21,0,0,8.9,8.2,0,8.9,0,0
1,1,22,0,0,8.9,6.2,0,8.9,0,0
1,1,23,0,0,8.9,7.7,0,8.9,0,0
1,2,0,0,0,8.3,5.7,0,8.3,0,0
1,2,1,0,0,8.9,7.7,0,8.9,0,0
1,2,2,0,0,8.3,7.7,0,8.3,0,0
1,2,3,0,0,7.8,7.2,0,7.8,0,0
1,2,4,0,0,7.2,6.2,0,7.2,0,0
1,2,5,0,0,7.2,5.7,0,7.2,0,0
1,2,6,0,0,7.2,5.2,0,7.2,0,0
1,2,7,0,11,7.8,3.6,10.39,6.45,242.862,99.312
1,2,8,0,78,8.9,7.2,76.908,9,1777.874,1604.603
1,2,9,0,116,9.4,7.2,113.664,10.155,2614.283,2423.465
1,2,10,0,133,10,7.7,129.579,11.005,2969.203,2770.651
1,2,11,185,251,10.6,7.2,426.137,16.364,9515.248,9143.259
